t,x,y,vx,vy
0.0,0.0,5.0,49.4974746831,49.4974746831
0.01,0.492389054523,5.49140905452,49.2389054523,49.1409054523
0.02,0.982219360908,5.9792895361,48.9830306385,48.7880481582
0.03,1.46951744363,6.4636779135,48.7298082721,48.4388377398
0.04,1.95430941615,6.94461001981,48.479197252,48.093210631
0.05,2.43662098938,7.42212106699,48.2311573227,47.7511047173
0.06,2.91647747991,7.89624565993,47.9856490531,47.4124592943
0.07,3.39390381806,8.36701781021,47.7426338154,47.0772150283
0.08,3.8689245557,8.83447094938,47.5020737644,46.7453139169
0.09,4.34156387389,9.2986379419,47.2639318182,46.4166992523
0.1,4.81184559027,9.75955109775,47.0281716388,46.0913155848
0.11,5.27979316641,10.2172421846,46.7947576135,45.7691086879
0.12,5.74542971478,10.6717424399,46.563654837,45.450025525
0.13,6.20877800572,11.123082582,46.3348290938,45.1340142163
0.14,6.66986047413,11.5712928221,46.1082468412,44.8210240074
0.15,7.12869922606,12.0164028745,45.8838751931,44.5110052387
0.16,7.5853160451,12.4584419677,45.6616819036,44.2039093161
0.17,8.03973239861,12.8974388545,45.4416353517,43.8996886821
0.18,8.49196944388,13.3334218224,45.2237045263,43.5982967884
0.19,8.94204803399,13.7664187031,45.0078590113,43.2996880688
0.2,9.38998872371,14.1964568822,44.7940689716,43.0038179136
0.21,9.8358117751,14.6235633086,44.5823051394,42.7106426441
0.22,10.2795371631,15.0477645035,44.3725388001,42.4201194886
0.23,10.7211845809,15.4690865691,44.1647417803,42.1322065587
0.24,11.1607734452,15.8875551974,43.9588864342,41.8468628262
0.25,11.5983229016,16.3031956784,43.7549456317,41.5640481015
0.26,12.033851829,16.7160329085,43.5528927466,41.2837230115
0.27,12.4673788455,17.1260913983,43.3527016444,41.0058489793
0.28,12.8989223122,17.5333952803,43.1543466716,40.7303882039
0.29,13.3285003386,17.9379683167,42.9578026441,40.4573036404
0.3,13.756130787,18.3398339066,42.763044837,40.1865589812
0.31,14.1818312767,18.7390150929,42.5700489738,39.9181186377
0.32,14.6056191889,19.1355345702,42.3787912166,39.6519477223
0.33,15.0275116705,19.5294146905,42.189248156,39.388012031
0.34,15.4475256385,19.9206774707,42.0013968014,39.1262780268
0.35,15.8656777842,20.309344599,41.8152145721,38.8667128232
0.36,16.2819845771,20.6954374406,41.6306792877,38.6092841683
0.37,16.6964622687,21.0789770449,41.4477691597,38.3539604296
0.38,17.1091268965,21.4599841507,41.2664627824,38.1007105791
0.39,17.5199942877,21.8384791925,41.0867391252,37.8495041784
0.4,17.929080063,22.2144823062,40.9085775236,37.600311365
0.41,18.3363996397,22.5880133346,40.7319576718,37.3531028385
0.42,18.7419682359,22.959091833,40.5568596149,37.1078498471
0.43,19.1458008733,23.3277370748,40.3832637412,36.8645241749
0.44,19.547912381,23.6939680561,40.2111507748,36.6230981294
0.45,19.9483173987,24.0578035014,40.0405017687,36.3835445289
0.46,20.3470303797,24.4192618683,39.8712980976,36.145836691
0.47,20.7440655942,24.7783613525,39.703521451,35.9099484209
0.48,21.1394371325,25.1351198925,39.537153827,35.675854
0.49,21.5331589077,25.4895551742,39.3721775252,35.4435281755
0.5,21.9252446591,25.8416846357,39.2085751411,35.2129461492
0.51,22.3157079547,26.1915254714,39.0463295592,34.9840835675
0.52,22.7045621942,26.5390946365,38.8854239477,34.7569165111
0.53,23.0918206117,26.8844088514,38.7258417523,34.5314214855
0.54,23.4774962786,27.2274846055,38.5675666905,34.3075754113
0.55,23.8616021061,27.5683381616,38.4105827459,34.0853556151
0.56,24.2441508477,27.9069855598,38.2548741634,33.8647398203
0.57,24.6251551021,28.2434426212,38.100425443,33.6457061382
0.58,25.0046273155,28.5777249518,37.9472213354,33.4282330598
0.59,25.3825797839,28.9098479463,37.7952468365,33.2122994473
0.6,25.7590246557,29.2398267915,37.6444871829,32.997884526
0.61,26.1339739342,29.5676764703,37.4949278464,32.7849678763
0.62,26.5074394795,29.8934117646,37.3465545302,32.5735294263
